time	soma.v(0.5)	stim1.i	soma.ica(0.5)	soma.ik(0.5)
2.000000	-49.822644	0.000000	-0.000000	0.000000
4.000000	-49.648108	0.000000	-0.000000	0.000000
6.000000	-49.477083	0.000000	-0.000000	0.000001
8.000000	-49.310475	0.000000	-0.000000	0.000002
10.000000	-49.149251	0.000000	-0.000000	0.000004
12.000000	-48.994355	0.000000	-0.000000	0.000007
14.000000	-48.846646	0.000000	-0.000000	0.000009
16.000000	-48.706873	0.000000	-0.000000	0.000012
18.000000	-48.575658	0.000000	-0.000000	0.000016
20.000000	-48.453494	0.000000	-0.000000	0.000020
22.000000	-48.340747	0.000000	-0.000000	0.000024
24.000000	-48.237663	0.000000	-0.000000	0.000028
26.000000	-48.144379	0.000000	-0.000000	0.000032
28.000000	-48.060934	0.000000	-0.000000	0.000036
30.000000	-47.987278	0.000000	-0.000000	0.000041
32.000000	-47.923283	0.000000	-0.000000	0.000045
34.000000	-47.868754	0.000000	-0.000000	0.000049
36.000000	-47.823439	0.000000	-0.000000	0.000054
38.000000	-47.787036	0.000000	-0.000000	0.000058
40.000000	-47.759205	0.000000	-0.000000	0.000062
42.000000	-47.739570	0.000000	-0.000000	0.000066
44.000000	-47.727729	0.000000	-0.000000	0.000069
46.000000	-47.723262	0.000000	-0.000000	0.000073
48.000000	-47.725731	0.000000	-0.000000	0.000076
50.000000	-47.734690	0.000000	-0.000000	0.000079
52.000000	-47.749687	0.000000	-0.000000	0.000082
54.000000	-47.770269	0.000000	-0.000000	0.000085
56.000000	-47.795984	0.000000	-0.000000	0.000088
58.000000	-47.826386	0.000000	-0.000000	0.000090
60.000000	-47.861035	0.000000	-0.000000	0.000093
62.000000	-47.899502	0.000000	-0.000000	0.000095
64.000000	-47.941372	0.000000	-0.000000	0.000097
66.000000	-47.986241	0.000000	-0.000000	0.000098
68.000000	-48.033722	0.000000	-0.000000	0.000100
70.000000	-48.083443	0.000000	-0.000000	0.000101
72.000000	-48.135052	0.000000	-0.000000	0.000102
74.000000	-48.188214	0.000000	-0.000000	0.000104
76.000000	-48.242611	0.000000	-0.000000	0.000104
78.000000	-48.297947	0.000000	-0.000000	0.000105
80.000000	-48.353945	0.000000	-0.000000	0.000106
82.000000	-48.410345	0.000000	-0.000000	0.000106
84.000000	-48.466908	0.000000	-0.000000	0.000107
86.000000	-48.523414	0.000000	-0.000000	0.000107
88.000000	-48.579661	0.000000	-0.000000	0.000107
90.000000	-48.635466	0.000000	-0.000000	0.000108
92.000000	-48.690662	0.000000	-0.000000	0.000108
94.000000	-48.745099	0.000000	-0.000000	0.000108
96.000000	-47.321099	0.020000	-0.000000	0.000111
98.000000	-43.545392	0.020000	-0.000000	0.000124
100.000000	-39.850944	0.020000	-0.000001	0.000140
102.000000	-36.239849	0.020000	-0.000005	0.000160
104.000000	-32.694070	0.020000	-0.000032	0.000181
106.000000	-29.096255	0.020000	-0.000179	0.000204
108.000000	-24.921117	0.020000	-0.000819	0.000231
110.000000	-18.025151	0.020000	-0.003473	0.000266
112.000000	-2.965544	0.020000	-0.007586	0.000320
114.000000	12.313562	0.020000	-0.005008	0.000353
116.000000	22.458113	0.020000	-0.002933	0.000354
118.000000	29.169513	0.020000	-0.001599	0.000342
120.000000	33.661411	0.020000	-0.000715	0.000331
122.000000	36.656030	0.020000	-0.000111	0.000327
124.000000	38.615374	0.020000	0.000298	0.000335
126.000000	39.863287	0.020000	0.000564	0.000354
128.000000	40.629117	0.020000	0.000728	0.000383
130.000000	41.069638	0.020000	0.000821	0.000421
132.000000	41.289201	0.020000	0.000866	0.000465
134.000000	41.356836	0.020000	0.000878	0.000516
136.000000	41.318588	0.020000	0.000868	0.000571
138.000000	41.205574	0.020000	0.000842	0.000629
140.000000	41.039146	0.020000	0.000804	0.000691
142.000000	40.834187	0.020000	0.000759	0.000754
144.000000	40.601226	0.020000	0.000709	0.000818
146.000000	40.347858	0.020000	0.000654	0.000883
148.000000	40.079651	0.020000	0.000597	0.000948
150.000000	39.800733	0.020000	0.000538	0.001014
152.000000	39.514180	0.020000	0.000477	0.001079
154.000000	39.222337	0.020000	0.000416	0.001145
156.000000	38.927002	0.020000	0.000355	0.001209
158.000000	38.629542	0.020000	0.000294	0.001273
160.000000	38.330994	0.020000	0.000233	0.001336
162.000000	38.032161	0.020000	0.000173	0.001399
164.000000	37.733638	0.020000	0.000113	0.001461
166.000000	37.435858	0.020000	0.000053	0.001522
168.000000	37.139129	0.020000	-0.000006	0.001582
170.000000	36.843655	0.020000	-0.000064	0.001642
172.000000	36.549549	0.020000	-0.000121	0.001700
174.000000	36.256858	0.020000	-0.000177	0.001758
176.000000	35.965561	0.020000	-0.000233	0.001815
178.000000	35.675587	0.020000	-0.000288	0.001872
180.000000	35.386831	0.020000	-0.000343	0.001928
182.000000	35.099142	0.020000	-0.000397	0.001983
184.000000	34.812327	0.020000	-0.000450	0.002038
186.000000	34.526183	0.020000	-0.000503	0.002092
188.000000	34.240475	0.020000	-0.000555	0.002146
190.000000	33.954927	0.020000	-0.000606	0.002200
192.000000	33.669249	0.020000	-0.000658	0.002253
194.000000	33.383148	0.020000	-0.000708	0.002306
196.000000	33.096286	0.020000	-0.000759	0.002359
198.000000	32.808286	0.020000	-0.000809	0.002412
200.000000	32.518787	0.020000	-0.000859	0.002465
202.000000	32.227392	0.020000	-0.000909	0.002518
204.000000	31.933647	0.020000	-0.000959	0.002572
206.000000	31.637086	0.020000	-0.001009	0.002625
208.000000	31.337239	0.020000	-0.001059	0.002679
210.000000	31.033560	0.020000	-0.001109	0.002733
212.000000	30.725451	0.020000	-0.001160	0.002788
214.000000	30.412322	0.020000	-0.001211	0.002844
216.000000	30.093496	0.020000	-0.001262	0.002901
218.000000	29.768204	0.020000	-0.001314	0.002958
220.000000	29.435667	0.020000	-0.001366	0.003017
222.000000	29.095004	0.020000	-0.001420	0.003077
224.000000	28.745196	0.020000	-0.001474	0.003138
226.000000	28.385182	0.020000	-0.001529	0.003202
228.000000	28.013743	0.020000	-0.001586	0.003267
230.000000	27.629472	0.020000	-0.001643	0.003334
232.000000	27.230864	0.020000	-0.001703	0.003404
234.000000	26.816128	0.020000	-0.001764	0.003477
236.000000	26.383257	0.020000	-0.001827	0.003553
238.000000	25.929947	0.020000	-0.001893	0.003632
240.000000	25.453487	0.020000	-0.001961	0.003716
242.000000	24.950778	0.020000	-0.002032	0.003805
244.000000	24.418108	0.020000	-0.002107	0.003899
246.000000	23.851145	0.020000	-0.002185	0.004000
248.000000	23.244667	0.020000	-0.002268	0.004109
250.000000	22.592400	0.020000	-0.002357	0.004226
252.000000	21.886718	0.020000	-0.002451	0.004354
254.000000	21.118218	0.020000	-0.002552	0.004495
256.000000	20.275214	0.020000	-0.002661	0.004650
258.000000	19.342985	0.020000	-0.002780	0.004825
260.000000	18.302711	0.020000	-0.002910	0.005022
262.000000	17.129958	0.020000	-0.003055	0.005249
264.000000	15.792418	0.020000	-0.003216	0.005512
266.000000	14.246489	0.020000	-0.003399	0.005823
268.000000	12.431818	0.020000	-0.003607	0.006198
270.000000	10.262320	0.020000	-0.003849	0.006661
272.000000	7.610252	0.020000	-0.004132	0.007246
274.000000	4.275347	0.020000	-0.004463	0.008013
276.000000	-0.085041	0.020000	-0.004832	0.009054
278.000000	-6.160296	0.020000	-0.005114	0.010535
280.000000	-15.865439	0.020000	-0.004373	0.012717
282.000000	-35.531260	0.020000	-0.000283	0.015463
284.000000	-60.108488	0.020000	-0.000000	0.011064
286.000000	-69.493744	0.020000	-0.000000	0.003761
288.000000	-69.749044	0.020000	-0.000000	0.001394
290.000000	-67.465701	0.020000	-0.000000	0.000801
292.000000	-64.609446	0.020000	-0.000000	0.000682
294.000000	-61.728993	0.020000	-0.000000	0.000710
296.000000	-59.008259	0.020000	-0.000000	0.000793
298.000000	-56.517049	0.020000	-0.000000	0.000899
300.000000	-54.278369	0.020000	-0.000000	0.001011
302.000000	-52.291225	0.020000	-0.000000	0.001120
304.000000	-50.540905	0.020000	-0.000000	0.001221
306.000000	-49.004980	0.020000	-0.000000	0.001311
308.000000	-47.657328	0.020000	-0.000000	0.001390
310.000000	-46.470923	0.020000	-0.000000	0.001455
312.000000	-45.419713	0.020000	-0.000000	0.001509
314.000000	-44.479771	0.020000	-0.000000	0.001553
316.000000	-43.629922	0.020000	-0.000000	0.001588
318.000000	-42.851971	0.020000	-0.000000	0.001614
320.000000	-42.130682	0.020000	-0.000000	0.001634
322.000000	-41.453582	0.020000	-0.000000	0.001649
324.000000	-40.810688	0.020000	-0.000000	0.001660
326.000000	-40.194176	0.020000	-0.000001	0.001667
328.000000	-39.598066	0.020000	-0.000001	0.001672
330.000000	-39.017893	0.020000	-0.000001	0.001675
332.000000	-38.450428	0.020000	-0.000002	0.001678
334.000000	-37.893411	0.020000	-0.000002	0.001679
336.000000	-37.345321	0.020000	-0.000003	0.001680
338.000000	-36.805179	0.020000	-0.000004	0.001682
340.000000	-36.272365	0.020000	-0.000006	0.001683
342.000000	-35.746480	0.020000	-0.000008	0.001685
344.000000	-35.227179	0.020000	-0.000011	0.001687
346.000000	-34.714107	0.020000	-0.000014	0.001690
348.000000	-34.206703	0.020000	-0.000019	0.001693
350.000000	-33.704215	0.020000	-0.000024	0.001698
352.000000	-33.205432	0.020000	-0.000032	0.001703
354.000000	-32.708774	0.020000	-0.000041	0.001709
356.000000	-32.211892	0.020000	-0.000052	0.001717
358.000000	-31.711807	0.020000	-0.000067	0.001725
360.000000	-31.204250	0.020000	-0.000085	0.001735
362.000000	-30.683765	0.020000	-0.000108	0.001746
364.000000	-30.142493	0.020000	-0.000137	0.001759
366.000000	-29.569897	0.020000	-0.000175	0.001773
368.000000	-28.950210	0.020000	-0.000224	0.001789
370.000000	-28.260177	0.020000	-0.000291	0.001808
372.000000	-27.462615	0.020000	-0.000385	0.001830
374.000000	-26.494505	0.020000	-0.000526	0.001856
376.000000	-25.240305	0.020000	-0.000753	0.001888
378.000000	-23.466292	0.020000	-0.001161	0.001929
380.000000	-20.649735	0.020000	-0.001977	0.001985
382.000000	-15.638500	0.020000	-0.003592	0.002068
384.000000	-7.415176	0.020000	-0.005034	0.002158
386.000000	1.400806	0.020000	-0.004534	0.002156
388.000000	8.628308	0.020000	-0.003639	0.002037
390.000000	14.426391	0.020000	-0.002889	0.001849
392.000000	19.215129	0.020000	-0.002290	0.001640
394.000000	23.281865	0.020000	-0.001802	0.001437
396.000000	26.786521	0.020000	-0.001388	0.001256
398.000000	29.802307	0.020000	-0.001022	0.001105
400.000000	32.356228	0.020000	-0.000693	0.000986
402.000000	34.464156	0.020000	-0.000403	0.000899
404.000000	36.153010	0.020000	-0.000156	0.000841
406.000000	37.465906	0.020000	0.000044	0.000808
408.000000	38.455517	0.020000	0.000197	0.000797
410.000000	39.175171	0.020000	0.000309	0.000802
